id,start,end,today,head_of_household,lga_of_residence,Village,birth_year,Gender,Marital_Status,Household_size,Educational_Level,Living_Arrangement,roof_type,Religious_Affiliation,coop_society_member,Specify_cooperative_society,planting_time,farmland_cultivated_ha,measure_of_seed,bags_of_potato_seeds,baskets_of_potato_seed,cost_of_seeds,cost_of_farm_prep,fert_bags_required,fert_bags_purchased_preseason,total_fert_bags_purchased,total_cost_of_fert,pesticides,farmland_other_crops,farm_prep_cost_other_crops,mixed_cropping,years_of_experience,prior_participation,potato_variety,potato_variety_caruso,potato_variety_marabel,potato_variety_lady_cristyl,potato_variety_nicola,potato_variety_other,potato_variety_diamant,time_of_harvest,time_of_harvest_may,time_of_harvest_june,time_of_harvest_july,time_of_harvest_august,time_of_harvest_september,time_of_harvest_october,quantity_harvested_bags,need_a_store,find_storage_facility,who_owns_facility,self_owned_facility,potato_value_chain_facility,individuals_owned_facility,a_group_facility,government_owned_facility,facility_by_others,potato_storage_time,bags_of_potato_stored,cost_of_storage,post_harvest_losses,post_harvest_loss_bags,potato_sold_bags,potato_bag_price,hired_labourers,hired_labourers_num,labourers_wages,nature_of_labour,want_copy_of_report,email_provider,core_potato_lga,farm_prep_prop,fert_prop,time_taken,survey_day,survey_month,potato_farmsize_ha,potato_seeds_tons,farmsize_others_ha,potato_harvested_tons,qty_potato_stored_tons,post_harvest_loss_tons,potato_sold_tons,potato_price_kg,potato_price_ton
1978-M-8654,2023-09-02T02:08:43Z,2023-09-02T19:20:09Z,2023-09-02,yes,Jos South,Hwak Kuru,1978,Male,Married,6,secondary_education,owned,zinc,christian,yes,Hwak young farmers,may,3,baskets,0,6,90000,15000,3,2,3,80000,"Glory, cabro",2,8000,yes,18,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,27,no,na,na,0,0,0,0,0,0,0,0,0,no,0,25,19000,yes,25,50000,manual,no,na,Yes,65.22,66.67,1031.43141666651,Saturday,September,0.135,0.15,0.09,1.35,0,0,1.25,0.5,500
1978-F-9002,2023-09-03T04:40:36Z,2023-09-03T04:45:27Z,2023-09-03,yes,Qua'an Pan,Dokan kasuwa,1978,Female,Married,6,non_formal_education,inherited,zinc,christian,yes,Maryang cooperative society,june,2,baskets,0,3,18900,12000,2,0,1,28700,Pestuck,30,125000,no,7,yes,marabel nicola diamant,0,1,0,1,0,1,august,0,0,0,1,0,0,5,no,na,na,0,0,0,0,0,0,0,0,0,yes,2,4,26500,yes,2,6000,manual,no,na,No,8.76,0,4.84520000219345,Sunday,September,0.09,0.07,1.35,0.25,0,0.1,0.2,0.08,80
1978-M-6241,2023-09-03T05:44:11Z,2023-09-03T05:47:18Z,2023-09-03,yes,Bokkos,MOM,1978,Male,Married,6,non_formal_education,owned,thatched,christian,no,na,april,1,bags,8,0,100000,15000,8,6,8,128000,Blue snow and Glory,2,20000,no,17,yes,caruso marabel nicola other,1,1,0,1,1,0,july august,0,0,1,1,0,0,39,no,na,na,0,0,0,0,0,0,0,0,0,yes,2,30,23000,yes,3,39000,manual,no,na,Yes,42.86,75,3.12438333034515,Sunday,September,0.045,0.4,0.09,1.95,0,0.1,1.5,0.6,600
1978-F-4509,2023-09-03T18:51:56Z,2023-09-03T19:31:03Z,2023-09-03,no,Jos South,Chugwi Vwang,1978,Female,Married,6,tertiary_education,owned,zinc,christian,yes,Kauna group,may,1,baskets,0,2,30000,7000,1,1,1,26500,"Glory, cabro",1,3000,yes,6,no,nicola,0,0,0,1,0,0,july,0,0,1,0,0,0,8,no,na,na,0,0,0,0,0,0,0,0,0,yes,0.5,7,17000,yes,9,18000,manual,no,na,Yes,70,100,39.1143666664759,Sunday,September,0.045,0.05,0.04,0.4,0,0.03,0.35,0.14,140
1978-F-6367,2023-09-04T20:40:06Z,2023-09-04T21:37:15Z,2023-09-04,no,Jos North,Tudun wada,1978,Female,Married,6,secondary_education,rented,zinc,christian,yes,Prudent mpcs,may,11,baskets,0,5,100000,20000,300,200,200,72000,Glory,25,10000,yes,5,yes,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,34,yes,yes,self,1,0,0,0,0,0,14,30,2500,yes,34,25,16000,yes,3,15500,manual,no,na,Yes,66.67,66.67,57.1387666662534,Monday,September,0.495,0.12,1.12,1.7,1.5,1.7,1.25,0.5,500
1978-M-6030,2023-08-15T21:01:25Z,2023-08-15T21:06:35Z,2023-08-15,yes,Pankshin,Longji,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Longji Lawpya,may,1,bags,3,0,45000,20000,8,8,8,160000,"Glory, mild soap, vegetables oil, liquid soap, baking soda",2,35000,yes,6,yes,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,31,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,27,14000,no,0,0,manual,no,na,Yes,36.36,100,5.1595166683197,Tuesday,August,0.045,0.15,0.09,1.55,0,0.1,1.35,0.54,540
1978-M-2163,2023-08-16T08:35:33Z,2023-08-16T09:17:07Z,2023-08-16,yes,Bassa,Miango,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Chiyenento Group,may,8,baskets,0,10,140000,87000,10,8,9,225000,Glory and Contact,11,75000,no,10,no,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,52,yes,yes,self,1,0,0,0,0,0,14,45,8000,yes,4,45,20000,yes,58,117000,manual,no,na,Yes,53.7,80,41.5734333356221,Wednesday,August,0.36,0.25,0.5,2.6,2.25,0.2,2.25,0.9,900
1978-M-2963,2023-08-17T13:12:18Z,2023-08-17T13:18:43Z,2023-08-17,yes,Kanke,Kyedam,1978,Male,Married,5,tertiary_education,owned,zinc,christian,yes,Marrit mcs,march,1,baskets,0,3,36000,18500,2,3,5,142500,"Dragon, roundups, slasher",4,25700,no,1,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,8,yes,no,na,0,0,0,0,0,0,0,0,0,yes,3,8,20000,yes,6,17000,manual,no,na,No,41.86,150,6.41393333276113,Thursday,August,0.045,0.07,0.18,0.4,0,0.15,0.4,0.16,160
1978-M-8629,2023-08-17T13:28:06Z,2023-08-17T13:32:46Z,2023-08-17,yes,Riyom,Bangai,1978,Male,Married,5,secondary_education,owned,thatched,christian,yes,Irish Potatos Organization,may,1,bags,5,0,100000,10000,5,2,5,150000,Glory,1,5000,yes,15,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,8,no,na,na,0,0,0,0,0,0,0,0,0,yes,1,5,14000,no,0,0,manual,no,na,Yes,66.67,40,4.65808333158493,Thursday,August,0.045,0.25,0.04,0.4,0,0.05,0.25,0.1,100
1978-F-5708,2023-08-18T09:14:26Z,2023-08-18T09:24:55Z,2023-08-18,no,Kanke,Leplar,1978,Female,Married,5,secondary_education,owned,zinc,christian,yes,7037315708,april,1,bags,1,0,25000,17000,2,2,4,114000,"Dragon,stricker,forceup",4,19000,no,1,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,8,yes,yes,self,1,0,0,0,0,0,7,8,2500,yes,3,8,20000,yes,3,9000,manual,no,na,No,47.22,100,10.471899998188,Friday,August,0.045,0.05,0.18,0.4,0.4,0.15,0.4,0.16,160
1978-F-2351,2023-08-18T10:30:47Z,2023-08-18T10:35:59Z,2023-08-18,no,Kanke,Gar,1978,Female,Married,5,tertiary_education,owned,zinc,christian,yes,Rotshang mcs,march,1,bags,1,0,25000,17500,2,3,5,142500,"Drag,slasher,weedcrusher",3,16000,no,1,no,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,8,yes,yes,self,1,0,0,0,0,0,7,9,1500,yes,2,9,20000,yes,3,12000,manual,no,na,No,52.24,150,5.19408333698908,Friday,August,0.045,0.05,0.14,0.4,0.45,0.1,0.45,0.18,180
1978-M-8895,2023-08-18T13:51:15Z,2023-08-18T13:56:08Z,2023-08-18,yes,Mangu,S/Barki,1978,Male,Married,5,primary_education,owned,thatched,christian,no,na,april,150,bags,12,0,36000,3000,9,7,7,175000,Copper fungicide,150,3000,no,6,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,98,no,na,na,0,0,0,0,0,0,0,0,0,no,0,95,40000,no,0,0,manual,no,na,Yes,50,77.78,4.88000000317891,Friday,August,6.75,0.6,6.75,4.9,0,0,4.75,1.9,1900
1978-F-5816,2023-08-18T19:09:24Z,2023-08-18T19:20:18Z,2023-08-18,no,Bassa,Assak,1978,Female,widowed,5,secondary_education,inherited,zinc,christian,yes,Assak Widows,may,2,bags,3,0,48000,20000,3,75000,2,3,Glory and Contact,7,25000,no,9,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,17,no,na,na,0,0,0,0,0,0,0,0,0,yes,2,15,22000,yes,11,28000,manual,no,na,Yes,44.44,2500000,10.9128833333651,Friday,August,0.09,0.15,0.32,0.85,0,0.1,0.75,0.3,300
1978-M-0080,2023-08-18T13:48:34Z,2023-08-19T05:59:13Z,2023-08-18,yes,Riyom,Kum,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Mafeng MCS,may,1,bags,5,0,125000,17000,8,3,5,150000,Fungicides,2,15000,no,12,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,9,no,na,na,0,0,0,0,0,0,0,0,0,yes,2,7,18000,yes,2,10000,manual,no,na,Yes,53.12,37.5,970.653466665745,Friday,August,0.045,0.25,0.09,0.45,0,0.1,0.35,0.14,140
1978-M-4646,2023-08-19T07:16:03Z,2023-08-19T07:20:48Z,2023-08-19,yes,Riyom,Kum,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Begwa MCS,may,1,bags,5,0,100000,10000,5,5,5,150000,Glory,1,10000,no,10,no,other,0,0,0,0,1,0,july,0,0,1,0,0,0,18,no,na,na,0,0,0,0,0,0,0,0,0,yes,1,16,18000,yes,2,8000,manual,no,na,Yes,50,100,4.75106666485469,Saturday,August,0.045,0.25,0.04,0.9,0,0.05,0.8,0.32,320
1978-M-9514,2023-08-21T13:57:15Z,2023-08-21T14:02:27Z,2023-08-21,yes,Mangu,DANGMET,1978,Male,Married,5,non_formal_education,inherited,zinc,christian,no,na,may,100,bags,5,0,100000,50000,5,3,4,100000,Copper fungicides,100,50000,no,6,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,50,yes,yes,self,1,0,0,0,0,0,31,45,3000,no,0,35,23000,yes,5,55000,manual,no,na,Yes,50,60,5.20766666730245,Monday,August,4.5,0.25,4.5,2.5,2.25,0,1.75,0.7,700
1978-F-0667,2023-08-21T14:16:18Z,2023-08-21T14:20:53Z,2023-08-21,no,Mangu,KWAHAS,1978,Female,Married,5,primary_education,owned,zinc,christian,no,na,may,100,bags,5,0,100000,50000,5,4,4,100000,Glory,100,50000,yes,5,yes,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,50,yes,yes,self,1,0,0,0,0,0,31,40,2500,no,0,35,20000,yes,5,50000,manual,no,na,Yes,50,80,4.5804500023524,Monday,August,4.5,0.25,4.5,2.5,2,0,1.75,0.7,700
1978-F-6898,2023-08-19T18:00:11Z,2023-08-21T15:23:45Z,2023-08-19,no,Jos South,Zawan,1978,Female,Married,5,tertiary_education,owned,zinc,christian,yes,Gasihayebwei,april,4,baskets,0,9,130000,20000,4,2,4,100000,"Blue snow, Cabro, z-force",2,10000,yes,25,yes,marabel other,0,1,0,0,1,0,july,0,0,1,0,0,0,18,no,na,na,0,0,0,0,0,0,0,0,0,yes,1,16,16500,yes,23,46000,manual,no,na,Yes,66.67,50,2723.57019999822,Saturday,August,0.18,0.22,0.09,0.9,0,0.05,0.8,0.32,320
1978-F-0692,2023-08-21T13:32:50Z,2023-08-21T15:24:56Z,2023-08-21,no,Jos South,Vwang,1978,Female,Married,5,secondary_education,owned,zinc,christian,yes,Mafeng farmers,may,4,baskets,0,8,120000,22000,4,4,4,100000,"Blue snow, glory,",6,20000,yes,18,yes,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,23,no,na,na,0,0,0,0,0,0,0,0,0,yes,1,20,19000,yes,30,60000,manual,no,na,Yes,52.38,100,112.099833333492,Monday,August,0.18,0.2,0.27,1.15,0,0.05,1,0.4,400
1978-F-2641,2023-08-21T18:08:35Z,2023-08-21T18:50:27Z,2023-08-21,no,Jos South,Vwang,1978,Female,Married,5,secondary_education,owned,zinc,christian,yes,Wunato farmers fwil,april,2,baskets,0,3,45000,10000,2,1,2,50000,Glory,3,10000,yes,15,no,marabel,0,1,0,0,0,0,july august,0,0,1,1,0,0,10,no,na,na,0,0,0,0,0,0,0,0,0,no,0,9,18000,yes,4,8000,manual,no,na,Yes,50,50,41.8616833368937,Monday,August,0.09,0.07,0.14,0.5,0,0,0.45,0.18,180
1978-M-8372,2023-08-22T08:36:21Z,2023-08-22T08:53:50Z,2023-08-22,yes,Barkin Ladi,Lachol,1978,Male,Married,5,secondary_education,inherited,zinc,christian,no,na,march,2,baskets,0,3,5000,19000,3,3,3,9000,Glory,1,4000,yes,12,yes,caruso,1,0,0,0,0,0,july,0,0,1,0,0,0,30,yes,yes,self,1,0,0,0,0,0,3,200,200,no,0,30,12000,yes,2,6000,manual,no,na,Yes,82.61,100,17.486483335495,Tuesday,August,0.09,0.07,0.04,1.5,10,0,1.5,0.6,600
1978-M-3384,2023-08-22T11:26:09Z,2023-08-22T11:33:13Z,2023-08-22,yes,Langtang North,Reak,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Ikam Nbin farmers association,july,1,baskets,0,1,5500,25000,2,1,1,26000,Best,2,45000,no,1,yes,marabel,0,1,0,0,0,0,october,0,0,0,0,0,1,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,1,24000,no,0,0,manual,no,na,No,35.71,50,7.06463333368301,Tuesday,August,0.045,0.03,0.09,0.15,0,0,0.05,0.02,20
1978-M-7757,2023-08-22T11:46:29Z,2023-08-22T11:53:30Z,2023-08-22,yes,Langtang North,Dadur,1978,Male,Married,5,secondary_education,owned,thatched,christian,yes,Ndur Nbin farmers association,july,1,baskets,0,2,12000,45000,3,2,2,50000,Best,4,120000,no,1,yes,marabel,0,1,0,0,0,0,october,0,0,0,0,0,1,5,no,na,na,0,0,0,0,0,0,0,0,0,no,0,3,25000,no,0,0,manual,no,na,No,27.27,66.67,7.01665000120799,Tuesday,August,0.045,0.05,0.18,0.25,0,0,0.15,0.06,60
1978-M-5172,2023-08-22T14:39:19Z,2023-08-22T14:44:50Z,2023-08-22,yes,Riyom,A/Wereng,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Wereng-Rim MCS,may,2,bags,12,0,240000,30000,12,6,12,360000,"Fungicides, Best",2,20000,no,25,yes,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,33,yes,yes,individuals,0,0,1,0,0,0,14,30,10000,yes,2,30,25000,yes,6,30000,manual,no,na,Yes,60,50,5.50813333193461,Tuesday,August,0.09,0.6,0.09,1.65,1.5,0.1,1.5,0.6,600
1978-F-2470,2023-08-22T17:56:51Z,2023-08-22T18:01:49Z,2023-08-22,no,Mangu,DUNGLA'AR,1978,Female,Married,5,primary_education,inherited,zinc,christian,no,na,may,200,bags,10,0,200000,100000,10,7,8,200000,Glory,100,50000,no,7,no,caruso,1,0,0,0,0,0,july,0,0,1,0,0,0,120,yes,yes,self,1,0,0,0,0,0,30,110,1500,no,0,95,20000,yes,10,100000,manual,no,na,Yes,66.67,70,4.9754333337148,Tuesday,August,9,0.5,4.5,6,5.5,0,4.75,1.9,1900
1978-M-9617,2023-08-23T08:57:21Z,2023-08-23T09:01:14Z,2023-08-23,yes,Mangu,S/BARKI-GINDIRI,1978,Male,Married,5,non_formal_education,inherited,zinc,christian,no,na,may,300,bags,15,0,300000,150000,12,9,10,250000,Copper fungicides,100,50000,yes,4,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,175,yes,yes,self,1,0,0,0,0,0,30,16,3000,no,0,150,20000,yes,12,130000,manual,no,na,Yes,75,75,3.8784500002861,Wednesday,August,13.5,0.75,4.5,8.75,0.8,0,7.5,3,3000
1978-F-9177,2023-08-23T13:21:20Z,2023-08-23T13:26:43Z,2023-08-23,yes,Langtang North,Gazum,1978,Female,Married,5,primary_education,inherited,zinc,christian,yes,Gwangtim farmers association,july,1,baskets,0,2,12000,40000,3,2,2,50000,Perfect killer,5,250000,no,1,no,marabel,0,1,0,0,0,0,october,0,0,0,0,0,1,6,no,na,na,0,0,0,0,0,0,0,0,0,no,0,4,25000,no,0,0,manual,no,na,No,13.79,66.67,5.37343333164851,Wednesday,August,0.045,0.05,0.22,0.3,0,0,0.2,0.08,80
1978-F-0484,2023-08-23T19:16:05Z,2023-08-23T20:04:37Z,2023-08-23,no,Jos South,Zawan,1978,Female,Married,5,secondary_education,owned,zinc,christian,yes,Sa ntyang farmers,april,3,baskets,0,5,75000,16000,3,2,3,75000,"Blue snow, z-force, best",2,7000,yes,20,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,17,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1,15,18500,yes,7,14000,manual,no,na,Yes,69.57,66.67,48.5288833340009,Wednesday,August,0.135,0.12,0.09,0.85,0,0.05,0.75,0.3,300
1978-M-9975,2023-08-24T09:31:06Z,2023-08-24T09:36:24Z,2023-08-24,yes,Kanke,Yilbem,1978,Male,Married,5,secondary_education,inherited,zinc,christian,yes,Tongkagak,march,1,bags,1,0,23000,15000,2,3,5,142000,"Dragon, weedcrusher",6,18000,no,1,no,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,9,yes,yes,self,1,0,0,0,0,0,22,9,4500,yes,2,9,20000,yes,3,14000,manual,no,na,No,45.45,150,5.28880000114441,Thursday,August,0.045,0.05,0.27,0.45,0.45,0.1,0.45,0.18,180
1978-M-1301,2023-08-24T10:12:33Z,2023-08-24T10:16:44Z,2023-08-24,yes,Kanke,Lengleng,1978,Male,Married,5,primary_education,owned,zinc,christian,yes,Tongkagak,march,1,bags,1,0,25000,14000,2,5,5,142000,"Dragon, weedcrusher, roundup",6,21000,no,1,no,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,7,yes,yes,self,1,0,0,0,0,0,7,7,1500,yes,3,7,20000,yes,3,16000,manual,no,na,No,40,250,4.19515000184377,Thursday,August,0.045,0.05,0.27,0.35,0.35,0.15,0.35,0.14,140
1978-M-2055,2023-08-24T04:36:48Z,2023-08-24T13:49:04Z,2023-08-24,yes,Bassa,Miango,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Grassroot Development Initiative,may,5,bags,6,0,90000,50000,5,3,5,150000,Z-Forte and Contact,10,85000,no,10,no,nicola,0,0,0,1,0,0,july,0,0,1,0,0,0,48,no,na,na,0,0,0,0,0,0,0,0,0,yes,4,44,22000,yes,26,68000,manual,no,na,Yes,37.04,60,552.268033333619,Thursday,August,0.225,0.3,0.45,2.4,0,0.2,2.2,0.88,880
1978-M-0337,2023-08-24T13:47:23Z,2023-08-24T14:24:08Z,2023-08-24,yes,Barkin Ladi,Gashish,1978,Male,Married,5,secondary_education,inherited,zinc,christian,no,na,april,3,baskets,0,3,6000,2000,3,3,3,9000,Glory,1,5000,no,5,yes,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,20,no,na,na,0,0,0,0,0,0,0,0,0,no,0,20,12000,no,0,0,manual,no,na,Yes,28.57,100,36.7567333340645,Thursday,August,0.135,0.07,0.04,1,0,0,1,0.4,400
1978-F-4615,2023-08-24T20:50:32Z,2023-08-24T21:15:40Z,2023-08-24,no,Jos South,Turu,1978,Female,Married,5,secondary_education,owned,zinc,christian,yes,Ropyal farmers association,may,2,baskets,0,4,60000,12000,3,2,2,52000,Glory,2,6000,yes,18,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,12,yes,yes,potato value chain,0,1,0,0,0,0,18,5,750,yes,1,10,18500,yes,4,8000,manual,no,na,Yes,66.67,66.67,25.1310166676839,Thursday,August,0.09,0.1,0.09,0.6,0.25,0.05,0.5,0.2,200
1978-M-2452,2023-08-25T09:34:59Z,2023-08-25T09:39:11Z,2023-08-25,yes,Mangu,Tong'ashak,1978,Male,Married,5,secondary_education,owned,zinc,christian,no,na,april,100,bags,9,0,36000,4500,8,6,7,175000,Copper fungicide,100,4500,no,6,yes,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,76,no,na,na,0,0,0,0,0,0,0,0,0,no,0,74,40000,yes,3,10000,manual,no,na,Yes,50,75,4.20556666453679,Friday,August,4.5,0.45,4.5,3.8,0,0,3.7,1.48,1480
1978-F-5663,2023-08-25T11:29:48Z,2023-08-25T11:34:41Z,2023-08-25,no,Qua'an Pan,Deomak,1978,Female,Married,5,tertiary_education,owned,zinc,christian,yes,Eve sisters cooperative,june,3,bags,3.5,0,65000,19000,3,1,2,58000,Sniper and small pepper,55,120000,no,8,yes,marabel nicola diamant,0,1,0,1,0,1,august,0,0,0,1,0,0,9,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,5,27800,yes,2,10000,manual,no,na,No,13.67,33.33,4.89613333145777,Friday,August,0.135,0.17,2.48,0.45,0,0.1,0.25,0.1,100
1978-F-9428,2023-08-25T13:21:49Z,2023-08-25T13:25:07Z,2023-08-25,no,Mangu,Sabon gida,1978,Female,Married,5,secondary_education,owned,thatched,christian,no,na,april,100,bags,8,0,36000,3500,7,5,6,145000,Luna fungicides,100,3500,no,5,yes,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,64,no,na,na,0,0,0,0,0,0,0,0,0,no,0,61,39000,no,0,0,manual,no,na,Yes,50,71.43,3.30031666358312,Friday,August,4.5,0.4,4.5,3.2,0,0,3.05,1.22,1220
1978-M-4724,2023-08-25T13:31:13Z,2023-08-25T13:34:12Z,2023-08-25,yes,Pankshin,Bwarak Gida,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Bwarak Gida potato farmers,may,1,baskets,0,5,45000,18500,3,9,9,120000,Chlorpyrofor carbamaters and Organophosphates,2,25000,no,5,yes,caruso marabel other,1,1,0,0,1,0,august,0,0,0,1,0,0,18,yes,no,na,0,0,0,0,0,0,0,0,0,no,0,15,12500,no,0,0,manual,no,na,Yes,42.53,300,2.98810000022252,Friday,August,0.045,0.12,0.09,0.9,0,0,0.75,0.3,300
1978-M-7734,2023-08-26T10:16:04Z,2023-08-26T10:19:48Z,2023-08-26,yes,Riyom,Bangai,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Begwa MCS,may,1,bags,5,0,100000,18000,5,2,5,150000,"Best, Glory",4,25000,no,25,no,marabel other,0,1,0,0,1,0,july,0,0,1,0,0,0,18,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,14,18000,yes,5,15000,manual,no,na,Yes,41.86,40,3.73100000222524,Saturday,August,0.045,0.25,0.18,0.9,0,0.1,0.7,0.28,280
1978-F-2412,2023-08-26T20:04:10Z,2023-08-26T20:07:05Z,2023-08-26,yes,Bokkos,MARISH,1978,Female,widowed,5,primary_education,inherited,zinc,christian,no,na,march,1,bags,8,0,128000,13000,8,3,8,128000,Glory and blue snow,2,12000,no,30,yes,marabel nicola,0,1,0,1,0,0,august,0,0,0,1,0,0,46,no,na,na,0,0,0,0,0,0,0,0,0,yes,2,25,22000,yes,2,29000,manual,no,na,Yes,52,37.5,2.91911666790644,Saturday,August,0.045,0.4,0.09,2.3,0,0.1,1.25,0.5,500
1978-M-0421,2023-08-27T06:12:55Z,2023-08-27T06:16:45Z,2023-08-27,yes,Riyom,Bangai,1978,Male,Married,5,tertiary_education,owned,zinc,christian,yes,Wunato MCS,may,1,bags,6,0,120000,15500,6,3,6,180000,"Glory, Blue snow.",2,18000,no,14,no,other,0,0,0,0,1,0,july,0,0,1,0,0,0,16,no,na,na,0,0,0,0,0,0,0,0,0,no,0,13,14000,yes,3,9000,manual,no,na,Yes,46.27,50,3.82888333400091,Sunday,August,0.045,0.3,0.09,0.8,0,0,0.65,0.26,260
1978-F-8564,2023-08-27T07:26:55Z,2023-08-27T07:34:09Z,2023-08-27,no,Riyom,Danpyam,1978,Female,Married,5,secondary_education,owned,zinc,christian,yes,Alheri MCS,may,2,bags,8,0,180000,20000,8,5,8,240000,Fungicides,2,20000,no,25,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,25,no,na,na,0,0,0,0,0,0,0,0,0,yes,1,21,20000,yes,5,25000,manual,no,na,Yes,50,62.5,7.24275000095367,Sunday,August,0.09,0.4,0.09,1.25,0,0.05,1.05,0.42,420
1978-M-0811,2023-08-27T07:46:04Z,2023-08-27T07:49:39Z,2023-08-27,yes,Riyom,Forest,1978,Male,Married,5,secondary_education,owned,zinc,christian,yes,Begwa MCS,may,1,bags,6,0,180000,25000,6,2,6,180000,Fungicides,1,15000,no,17,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,17,no,na,na,0,0,0,0,0,0,0,0,0,yes,2,14,20000,yes,7,21000,manual,no,na,Yes,62.5,33.33,3.57891666491826,Sunday,August,0.045,0.3,0.04,0.85,0,0.1,0.7,0.28,280
1978-M-3247,2023-08-27T00:37:10Z,2023-08-27T18:14:06Z,2023-08-27,yes,Jos South,Rabin Du,1978,Male,Married,5,tertiary_education,owned,zinc,christian,yes,Nerat Dagwi farmers,may,4,baskets,0,8,120000,20000,4,2,4,108,"Blue snow, cabro, glory",2,6000,yes,20,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,28,no,na,na,0,0,0,0,0,0,0,0,0,no,0,26,17500,yes,11,22000,manual,no,na,Yes,76.92,50,1056.93344999949,Sunday,August,0.18,0.2,0.09,1.4,0,0,1.3,0.52,520
1978-M-4927,2023-08-27T01:16:25Z,2023-08-27T18:16:41Z,2023-08-27,yes,Jos South,Sheh Du,1978,Male,Married,5,tertiary_education,owned,zinc,christian,yes,Sheh farmers,may,4,baskets,0,8,120000,20000,4,4,4,105000,"Glory, cabro",3,9000,yes,15,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,26,no,na,na,0,0,0,0,0,0,0,0,0,no,0,24,18000,yes,10,20000,manual,no,na,Yes,68.97,100,1020.27013333241,Sunday,August,0.18,0.2,0.14,1.3,0,0,1.2,0.48,480
1978-F-4884,2023-08-27T20:05:34Z,2023-08-27T20:08:31Z,2023-08-27,no,Mangu,Panyam,1978,Female,Married,5,secondary_education,owned,zinc,christian,no,na,april,100,bags,8,0,35000,4000,7,5,6,145000,Phosphine Acid,100,4000,no,4,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,63,no,na,na,0,0,0,0,0,0,0,0,0,no,0,60,38000,no,0,0,manual,no,na,Yes,50,71.43,2.94925000270208,Sunday,August,4.5,0.4,4.5,3.15,0,0,3,1.2,1200
1978-F-0934,2023-08-28T15:06:34Z,2023-08-28T15:26:40Z,2023-08-28,no,Jos South,Bek Du,1978,Female,Married,5,secondary_education,inherited,zinc,christian,yes,Progressive youth farmers,may,2,baskets,0,4,60000,12000,2,2,2,53000,"Glory, cabro",2,9000,yes,19,no,nicola,0,0,0,1,0,0,july,0,0,1,0,0,0,15,no,na,na,0,0,0,0,0,0,0,0,0,no,0,14,17000,yes,7,14000,manual,no,na,Yes,57.14,100,20.1093833327293,Monday,August,0.09,0.1,0.09,0.75,0,0,0.7,0.28,280
1978-F-6573,2023-08-28T15:41:38Z,2023-08-28T15:46:16Z,2023-08-28,no,Kanke,Khir,1978,Female,Married,5,tertiary_education,owned,zinc,christian,yes,Marrit mcs gungji,march,1,baskets,0,3,39000,16000,2,3,5,142000,"Uproot,roundup,weedcrusher",5,25000,no,1,no,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,7,no,na,na,0,0,0,0,0,0,0,0,0,yes,1,7,20000,yes,3,9000,manual,no,na,No,39.02,150,4.62718333403269,Monday,August,0.045,0.07,0.22,0.35,0,0.05,0.35,0.14,140
